,ground ginger,light brown sugar,fresh basil,onion powder,lemons,bay leaf,vinegar,dried thyme,cumin,oregano,fresh ground pepper,sesame oil,ground nutmeg,bay leaves,bananas,shredded cheddar cheese,whole milk,red bell pepper,chicken,boiling water,whole wheat flour,crushed red pepper flakes,thyme,fresh lime juice,whipping cream,shortening,apples,fresh thyme,low - fat milk,white wine,lemon zest,chicken breasts,diced tomatoes,breadcrumbs,strawberries,curry powder,basil,cold water,red pepper flakes,white pepper,red bell peppers,green peppers,shrimp,semi - sweet chocolate chips,dry mustard,dried basil,pure vanilla extract,salsa,ground cloves,cooking spray,black beans,chives,garlic salt,warm water,half - and - half,green bell pepper,cider vinegar,feta cheese,monterey jack cheese,almond extract,barbecue sauce,cherry tomatoes,hot sauce,peanut butter,chocolate chips,maple syrup,celery ribs,nuts,lime,sharp cheddar cheese,green pepper,yellow onion,sesame seeds,dark brown sugar,flat leaf parsley,bread,white vinegar,green bell peppers,evaporated milk,molasses,white wine vinegar,cabbage,cocoa powder,almonds,corn,cream,heavy whipping cream,egg yolk,ice,capers,pine nuts,cake flour,orange zest,fresh rosemary,flour tortillas,fresh basil leaves,cucumbers,plain yogurt,fresh parsley leaves,unsweetened cocoa powder,lean ground beef,shallot,avocado,hot water,lettuce,apple cider vinegar,red wine,cloves,peanut oil,red peppers,italian seasoning,fresh mushrooms,ground coriander,black olives,fresh chives,cayenne,yellow onions,sweet potatoes,egg white,rice vinegar,beef broth,sweetened condensed milk,ham,Tabasco sauce,spinach,plum tomatoes,swiss cheese,salt and black pepper,rosemary,cornmeal,rice,limes,cooked chicken,banana,cocoa,ricotta cheese,avocados,blueberries,cooked rice,low sodium chicken broth,seasoning salt,coconut milk,broccoli,turmeric,orange,ice cubes,green beans,cucumber,leeks,rolled oats,red pepper,bell peppers,light corn syrup,of fresh mint,fresh dill,vanilla ice cream,green chilies,skim milk,sliced almonds,salt & pepper,sliced mushrooms,coarse salt,ground allspice,vodka,oranges,bread flour,semisweet chocolate,asparagus,boneless skinless chicken breast halves,allspice,jalapenos,fish sauce,active dry yeast,pasta,basil leaves,red potatoes,cream of tartar,frozen peas,cumin seeds,panko breadcrumbs,slivered almonds,dried cranberries,parmigiano - reggiano cheese,whipped cream,beer,corn tortillas,Philadelphia Cream Cheese,sake,blue cheese,mustard,pineapple juice,romaine lettuce,brandy,vegetable broth,dried parsley,applesauce,graham cracker crumbs,Granny Smith apples,caster sugar,cream of mushroom soup,jalapeno peppers,coconut,cracked black pepper,Greek yogurt,plain flour,vegetable stock,crushed pineapple,goat cheese,bittersweet chocolate,hot pepper sauce,spaghetti,white bread,icing sugar,salt & fresh ground pepper,dry red wine,cooking oil,apple,broccoli florets,mirin,low - fat sour cream,dry sherry,salmon fillets,chickpeas,fresh strawberries,cauliflower,whole cloves,crushed tomatoes,beef stock,butternut squash,celery seeds,ground pork,fresh flat - leaf parsley,fresh thyme leaves,vegetable shortening,cinnamon sticks,jalapeno pepper,lemon peel,apple juice,fresh spinach,peaches,Cool Whip,jalapeno,Velveeta cheese,gingerroot,rum,white onion,ground turkey,kalamata olives,fennel seeds,Baby Spinach,cream of chicken soup,roasted red peppers,creamy peanut butter,chopped tomatoes,coriander,French bread,hard - boiled eggs,beef,frozen chopped spinach,sun - dried tomatoes,yeast,russet potatoes,nonfat milk,fresh oregano,Cool Whip Topping,black peppercorns,golden raisins,dried rosemary,fresh mint leaves,pork tenderloin,olives,prosciutto,dates,peanuts,cottage cheese,yogurt,prepared mustard,pumpkin,white onions,tortilla chips,white chocolate,fresh orange juice,seasoning,pineapple,roma tomatoes,chocolate,potato,dried apricots,sherry wine,cilantro leaves,vanilla bean,low sodium soy sauce,diced onions,leek,kidney beans,raspberries,eggplants,mint leaves,yellow cornmeal,cinnamon stick,green onion,smoked paprika,rice wine vinegar,dry breadcrumbs,unbleached all - purpose flour,fresh cilantro leaves,pumpkin puree,fresh coarse ground black pepper,frozen corn,flaked coconut,mint,spaghetti sauce,coriander seeds,dark rum,button mushrooms,apple cider,coconut oil,oats,pumpkin pie spice,nonstick cooking spray,bell pepper,Bourbon,crabmeat,hoisin sauce,ground pepper,yukon gold potatoes,Italian dressing,caraway seeds,creme fraiche,chili sauce,unsweetened chocolate,grape tomatoes,miniature marshmallows,maraschino cherries,poppy seeds,sherry wine vinegar,eggplant,garam masala,elbow macaroni,ice water,lettuce leaves,mangoes,chicken thighs,pork,arugula,ground red pepper,large shrimp,oyster sauce,dill,sweet onion,dark chocolate,celery salt,radishes,sage,baby carrots,corn syrup,fresh blueberries,lime zest,kale,oatmeal,pork chops,ground cardamom,red food coloring,scallion,old fashioned oats,sweet onions,tomato puree,white rice,baby spinach leaves,green olives,spring onions,pecan halves,provolone cheese,boneless chicken breasts,hazelnuts,fresh gingerroot,ground turmeric,cooked ham,mustard seeds,yellow squash,marshmallows,orange peel,peppercorns,fresh raspberries,celery rib,shredded coconut,lasagna noodles,lemon wedges,light cream,medium shrimp,prepared horseradish,turkey,soymilk,tomato juice,fresh breadcrumbs,artichoke hearts,gruyere cheese,sunflower seeds,quinoa,yellow cake mix
ground ginger,0,112,6,45,22,16,28,30,22,5,18,39,252,12,14,0,32,15,22,21,53,32,10,21,35,39,37,10,6,15,20,28,10,13,11,53,2,24,26,48,10,16,9,7,44,8,44,2,377,36,2,7,15,7,13,10,29,1,2,5,12,6,5,9,6,37,13,9,7,2,16,5,28,92,7,1,16,13,36,176,11,9,2,24,1,8,22,20,3,4,2,11,35,2,2,2,7,18,3,8,14,3,2,19,1,15,12,40,16,11,1,5,57,3,5,18,3,31,23,29,9,21,8,4,3,9,1,12,3,4,5,7,6,7,1,2,3,8,23,9,7,20,7,45,24,1,4,1,2,26,12,3,12,6,1,15,1,5,22,3,6,8,139,0,18,7,5,3,21,45,3,7,1,2,2,2,15,10,15,6,20,21,0,22,2,1,8,1,0,3,15,2,19,14,4,22,21,19,10,0,8,6,3,10,22,9,12,3,5,5,7,5,10,10,1,7,9,14,2,0,16,6,13,0,6,17,2,7,17,8,10,5,2,17,15,8,10,19,1,12,1,4,0,3,3,3,6,0,12,3,1,2,8,5,9,1,2,4,5,0,2,1,5,0,4,10,26,7,2,17,2,0,8,5,1,9,7,52,1,0,8,10,9,8,2,1,4,24,11,6,10,20,4,5,0,4,2,3,5,12,4,8,6,8,11,5,85,6,2,4,5,0,15,19,2,15,12,9,8,10,4,10,0,14,7,2,3,5,7,5,1,5,4,5,2,3,2,14,0,11,4,11,4,3,1,12,3,7,0,7,0,8,0,3,7,7,6,3,2,5,5,62,4,6,11,4,4,7,2,12,3,13,1,7,2,2,31,3,10,3,0,11,7,2,0,4,0,5,3,7,2,1,4,1,4,2,1,5,4,2
light brown sugar,112,0,5,38,16,8,11,15,5,3,12,25,94,8,58,6,52,10,5,13,26,20,5,20,28,27,57,8,9,3,27,5,7,5,19,7,5,10,14,10,11,1,9,86,20,1,123,1,99,25,3,3,3,19,23,8,36,0,3,41,17,2,6,21,50,35,4,19,11,2,0,20,13,18,2,3,8,5,31,42,7,2,29,14,6,6,11,39,6,1,4,35,43,4,3,5,5,12,5,38,2,2,1,12,5,28,4,22,7,2,0,0,13,2,1,13,16,35,16,24,3,32,2,6,1,3,1,1,0,7,2,4,2,13,14,1,1,24,5,9,4,8,2,5,12,0,6,9,2,56,4,0,60,8,2,18,1,3,18,0,0,16,57,2,15,10,31,6,3,19,6,22,13,1,2,1,7,0,5,5,19,24,2,21,6,1,6,7,1,3,14,1,10,1,0,19,14,41,7,0,1,7,5,6,15,3,7,1,21,8,1,4,6,1,5,1,6,4,7,3,8,8,0,8,1,13,4,0,3,8,4,1,4,25,14,4,6,17,3,20,1,7,0,15,9,1,1,1,2,1,0,2,26,0,2,3,2,0,0,0,0,0,7,1,0,3,19,2,5,12,2,0,11,10,3,3,6,11,0,1,12,13,1,11,1,8,0,15,2,6,19,17,0,0,1,4,4,6,4,7,0,10,12,0,41,7,29,7,0,8,2,0,9,23,1,21,11,11,27,13,1,34,0,5,2,1,0,3,6,8,15,2,8,6,1,4,3,0,2,10,2,15,3,7,1,0,3,1,2,2,4,1,1,0,3,15,15,3,0,6,7,14,3,3,43,3,0,1,1,0,2,24,0,2,8,12,2,0,5,0,4,4,3,5,0,10,1,3,6,1,2,3,5,1,3,0,1,4,3,1
fresh basil,6,5,0,14,32,32,6,28,9,27,52,7,10,22,0,8,12,51,12,7,5,69,11,30,14,0,0,81,4,50,17,19,48,32,9,7,18,6,67,26,69,14,24,2,3,30,8,4,2,25,11,17,12,14,15,22,5,63,8,0,3,84,6,1,0,0,14,0,7,5,9,27,5,1,16,16,7,16,4,3,24,5,0,4,10,8,11,7,4,55,93,1,7,44,6,14,24,8,6,0,12,25,11,9,13,6,27,3,7,30,29,21,4,40,31,6,26,9,12,10,11,0,5,8,16,94,6,28,7,15,5,10,7,0,0,59,12,0,5,28,8,6,11,3,4,0,18,19,8,2,17,13,0,45,13,0,3,6,3,20,10,18,2,10,6,3,0,28,21,0,2,20,10,33,12,11,0,8,1,16,4,0,30,0,2,0,3,3,9,4,2,13,0,25,8,0,0,2,1,1,4,1,16,7,2,17,2,43,0,10,34,9,2,15,20,2,2,14,1,2,4,9,15,5,4,2,48,5,6,0,14,26,5,0,1,5,13,2,21,3,0,2,0,2,0,7,11,49,21,18,1,43,1,26,4,18,3,1,12,50,0,0,2,93,0,5,2,9,5,4,19,30,1,3,5,0,1,7,9,0,0,3,7,4,33,0,3,1,2,0,0,6,5,10,3,1,37,2,2,0,7,3,7,10,3,3,2,11,4,0,1,12,0,2,17,0,1,0,0,9,7,1,8,2,8,3,15,1,6,3,0,33,0,0,1,7,33,1,2,3,5,4,7,1,17,6,17,4,0,8,1,3,6,3,0,0,4,5,4,0,1,0,0,2,0,12,16,3,13,9,5,1,22,5,2,5,4,3,0,31,0,3,3,1,7,0,30,11,2,15,1,2,2,6,9,18,9,3,12,0
onion powder,45,38,14,0,20,18,28,266,87,88,22,18,31,46,1,38,13,28,25,3,19,46,67,9,1,4,11,20,4,26,12,38,24,40,0,34,48,16,35,97,22,11,17,0,79,83,0,20,21,20,21,38,60,10,13,28,26,9,17,0,39,11,45,4,0,8,14,1,22,16,9,16,8,33,3,14,24,30,11,34,6,15,2,3,26,1,8,2,1,7,6,2,3,5,18,3,10,4,29,0,30,3,14,6,16,51,9,3,12,28,42,9,34,7,20,69,50,10,6,8,23,0,9,23,8,6,12,17,23,15,7,14,10,0,2,11,16,0,11,6,56,11,5,24,4,0,7,6,2,2,2,29,5,0,4,0,12,8,5,15,17,6,28,3,7,0,1,6,9,11,17,5,2,10,4,12,0,10,3,22,5,2,14,0,32,12,2,1,14,20,8,4,2,6,73,2,0,2,1,11,9,1,19,14,1,4,2,4,0,15,4,10,0,10,14,5,2,4,1,8,2,11,3,0,8,0,11,14,3,39,11,3,9,3,1,11,3,10,9,0,0,7,13,4,0,4,19,3,13,2,16,13,2,12,11,7,9,8,8,2,4,13,7,8,0,5,0,25,2,13,5,2,1,7,4,3,11,0,6,6,0,7,24,4,14,0,3,1,2,8,0,9,5,0,6,0,6,1,9,1,3,42,7,5,1,9,2,18,7,0,2,11,2,0,7,5,5,4,1,3,12,7,2,7,17,3,1,6,1,9,1,4,0,0,4,4,4,4,8,7,3,1,7,4,2,12,6,2,8,5,0,39,2,19,7,2,1,4,0,0,18,9,0,0,5,7,6,10,0,1,1,2,4,11,0,1,9,3,8,3,0,0,5,0,3,2,5,9,0,6,6,4,5,7,1,5,2,0,4,0
lemons,22,16,32,20,0,26,11,28,27,20,38,9,8,47,15,0,17,20,27,35,4,24,31,7,20,5,24,34,6,59,33,28,12,22,20,13,18,25,32,26,15,7,34,1,8,13,11,2,16,9,3,11,7,4,7,7,11,16,2,11,5,25,20,5,0,6,15,5,18,2,6,9,10,5,34,5,17,7,3,13,17,12,6,14,15,9,8,20,37,35,18,12,16,19,2,9,18,26,24,0,5,25,18,8,9,9,17,26,10,20,4,7,27,14,15,17,17,3,12,5,2,7,7,21,18,15,2,12,26,7,13,51,6,3,2,11,14,10,3,10,6,7,9,17,22,23,15,18,5,4,10,8,4,25,20,7,5,3,15,7,2,25,12,19,87,2,1,19,5,10,8,2,0,6,18,8,8,8,14,10,15,0,16,5,5,4,6,2,4,9,11,9,16,8,3,4,8,8,33,1,5,11,18,16,15,10,1,3,2,8,6,5,17,9,7,4,4,5,3,3,9,29,19,7,8,19,3,2,2,7,5,9,16,4,22,5,10,8,6,9,2,6,0,11,10,6,2,17,11,12,0,10,0,4,11,6,6,4,3,6,3,3,0,17,2,16,8,5,17,2,7,6,1,3,2,12,4,4,8,1,2,7,7,6,13,1,6,16,3,6,3,4,4,5,0,8,2,26,4,20,5,3,5,5,11,10,1,11,2,1,19,0,15,3,4,5,2,0,0,1,4,11,10,2,7,3,1,5,11,3,0,6,1,3,11,4,5,9,1,7,8,2,5,3,9,6,12,1,12,3,0,3,8,3,7,3,7,3,5,2,6,2,0,4,0,5,3,1,4,10,6,0,1,6,5,4,12,0,10,5,0,0,18,5,6,3,1,10,6,7,2,2,2,5,5,4,3,2,6,2
bay leaf,16,8,32,18,26,0,31,171,48,75,59,2,16,11,2,4,20,38,52,16,1,51,180,5,12,5,8,140,7,49,19,24,77,11,0,32,48,27,43,43,34,31,36,1,17,43,1,2,24,11,17,25,8,7,25,56,14,7,11,0,5,8,26,3,0,5,117,0,7,7,33,47,2,7,34,7,22,41,1,5,20,26,4,5,17,10,12,8,4,19,10,4,12,44,3,13,7,4,52,1,15,24,2,8,1,14,81,41,7,8,19,29,22,9,18,25,44,18,5,7,55,1,13,14,14,29,4,28,44,3,20,4,18,0,0,10,9,1,18,54,10,12,3,24,13,0,20,2,60,1,13,15,0,4,9,0,8,3,6,17,15,15,20,1,8,3,1,7,12,18,6,2,0,9,9,19,0,19,31,1,4,2,14,0,18,9,1,2,4,5,3,3,19,23,21,2,0,7,5,2,2,2,11,3,6,25,0,2,2,20,10,7,1,15,55,7,9,9,3,3,16,6,12,0,11,50,35,54,15,13,7,30,26,3,24,10,3,3,8,0,0,8,0,8,1,18,3,2,21,8,1,4,0,19,18,6,2,20,5,8,0,19,1,17,0,64,7,22,3,7,8,10,0,2,1,6,3,4,19,3,0,1,5,1,11,0,27,2,17,3,0,3,15,40,16,0,13,5,8,32,3,9,3,5,2,4,0,11,7,0,7,3,23,0,16,15,2,1,0,1,11,1,6,1,7,9,0,21,14,3,2,0,0,0,0,13,7,13,5,4,1,1,16,12,4,8,11,2,6,6,0,5,3,13,17,0,0,1,9,0,6,1,0,1,0,6,15,16,1,8,2,0,0,2,1,1,10,4,18,5,0,5,73,0,49,0,8,9,7,17,5,19,3,10,9,2,12,0,5,0
vinegar,28,11,6,28,11,31,0,12,23,29,7,59,7,39,13,2,4,11,25,23,8,22,20,4,4,30,12,5,8,5,3,28,12,15,3,18,11,36,19,15,14,77,9,1,94,14,4,5,19,1,12,9,30,6,4,25,3,4,3,1,17,10,16,5,10,7,10,4,8,2,48,8,29,3,3,10,1,21,6,33,3,52,20,10,9,4,5,7,1,9,1,15,4,2,3,2,72,9,6,4,5,4,10,11,26,5,8,38,12,31,6,4,5,10,4,9,5,3,7,2,6,2,16,27,5,0,1,5,11,3,11,8,5,0,41,0,8,1,21,1,8,6,12,37,1,3,22,37,9,0,13,22,4,4,10,0,8,1,8,10,0,4,9,0,1,6,2,5,3,32,13,5,3,2,2,9,2,6,5,3,12,3,1,2,8,0,2,45,10,60,11,12,2,1,7,9,0,3,4,1,8,5,1,3,6,2,11,1,1,6,4,1,4,1,1,19,5,4,25,10,14,4,5,3,10,14,2,9,0,65,7,2,3,4,9,5,1,3,6,1,0,5,1,9,3,5,4,1,1,3,1,1,0,5,9,1,30,8,0,1,4,2,1,1,0,9,4,4,1,3,6,0,4,11,2,9,49,1,2,2,0,5,8,13,1,2,6,6,11,1,0,2,2,7,21,0,7,2,1,4,10,2,1,6,2,0,1,6,6,0,2,0,3,0,1,3,7,2,0,2,12,1,4,4,11,0,2,11,2,23,1,2,1,6,10,3,4,2,4,10,10,2,7,26,2,3,1,13,17,5,1,16,13,4,3,8,1,1,0,2,11,2,26,6,0,7,4,13,1,8,9,0,2,10,4,3,3,6,35,3,1,5,23,3,5,2,0,1,3,2,5,2,14,9,5,0,1,9,0,0
dried thyme,30,15,28,266,28,171,12,0,26,17,50,9,39,151,1,14,18,45,40,6,5,41,10,19,29,8,12,24,10,44,15,19,55,36,0,28,9,22,31,52,24,17,36,0,38,195,0,4,27,25,10,30,30,5,26,40,27,7,8,0,8,11,31,1,0,6,76,1,13,14,15,39,7,13,14,14,8,46,5,12,16,19,0,3,20,7,7,6,1,14,13,1,6,15,7,13,6,4,53,1,25,15,7,7,6,12,36,8,8,22,7,35,18,12,16,65,61,24,4,1,45,0,16,17,17,24,6,27,11,17,9,8,13,1,0,7,3,0,22,37,25,16,5,7,6,1,13,2,35,3,10,24,0,0,1,0,3,6,6,11,23,19,61,0,5,4,1,7,25,9,8,1,4,10,1,22,1,26,5,11,2,5,20,0,23,3,0,0,6,8,1,3,19,24,74,3,0,8,0,7,7,2,22,1,5,17,0,6,2,33,5,13,0,12,50,16,4,12,1,3,18,13,5,2,9,15,18,46,21,18,19,11,9,6,3,9,6,9,6,0,0,6,0,2,1,11,14,8,20,6,3,8,0,16,6,7,3,8,2,10,2,12,2,4,0,25,2,133,5,25,10,3,0,3,0,2,4,2,14,2,0,8,10,1,9,0,21,6,6,6,0,3,10,15,10,0,6,1,8,5,3,17,5,16,3,7,1,15,6,0,0,3,4,4,25,13,7,0,0,9,7,2,10,3,20,9,2,2,2,5,0,4,0,0,1,5,7,2,4,12,3,4,16,4,4,14,10,0,3,6,0,13,1,9,9,2,0,0,4,4,18,13,0,4,2,5,11,10,3,4,1,7,4,4,2,2,5,10,3,4,0,4,16,0,23,1,5,10,4,18,6,13,2,6,15,7,8,3,5,0
cumin,22,5,9,87,27,48,23,26,0,175,17,4,5,50,1,46,1,62,37,5,7,44,47,25,3,1,5,13,7,11,6,49,103,18,1,52,32,12,46,35,41,55,18,0,20,18,0,97,14,9,180,11,46,7,13,51,18,18,78,0,12,19,43,9,0,5,13,0,65,19,48,47,9,8,5,3,17,34,6,8,10,16,4,9,72,7,2,1,0,4,19,0,2,8,61,0,10,27,11,4,30,14,36,7,26,28,13,27,7,42,8,4,32,22,2,69,29,26,3,4,22,0,5,36,10,17,1,15,10,13,25,39,23,0,3,1,49,0,9,13,18,22,4,94,5,0,7,16,3,2,27,29,0,10,6,0,80,3,3,30,9,6,6,0,7,0,1,1,5,21,66,3,0,3,5,7,1,6,11,8,5,2,1,0,25,60,0,0,4,9,6,7,2,24,9,0,0,1,0,6,42,3,6,19,3,22,4,2,1,9,5,1,0,3,8,14,1,5,0,14,3,5,43,0,13,7,26,17,16,12,11,1,0,2,7,43,1,5,6,1,0,43,3,8,1,16,34,3,13,2,11,10,1,25,139,3,2,11,3,4,2,6,1,7,0,4,5,2,3,11,10,1,1,3,2,10,3,3,12,35,0,3,13,5,26,0,8,9,3,19,0,1,12,7,39,0,10,7,6,14,5,34,1,4,1,9,3,6,34,0,18,1,15,4,5,8,5,0,0,3,35,0,3,2,21,5,0,5,0,8,0,6,0,0,3,1,7,29,4,1,1,5,6,19,3,14,4,1,2,12,0,5,3,11,6,0,0,11,4,1,6,8,0,5,0,6,16,14,2,7,3,1,0,15,1,0,7,3,12,6,0,3,5,0,9,0,2,4,2,1,1,8,3,14,3,2,0,1,11,0
oregano,5,3,27,88,20,75,29,17,175,0,29,1,3,84,0,26,4,23,34,15,6,49,183,8,1,6,0,7,4,34,15,46,92,49,0,7,345,5,59,28,23,67,20,0,23,36,0,22,5,6,35,10,58,14,3,30,12,48,29,0,13,15,20,1,0,4,15,2,13,16,66,25,8,3,14,14,23,30,4,5,11,18,7,5,28,11,3,4,0,14,5,2,2,7,16,7,10,6,21,1,36,5,10,10,16,12,51,12,4,29,35,16,13,32,2,30,24,8,4,4,28,0,12,31,28,18,12,23,83,13,19,12,12,0,0,32,10,0,12,5,18,4,8,7,9,0,17,12,6,0,27,37,1,2,1,0,20,2,0,34,33,0,4,1,4,2,0,7,5,13,16,0,6,27,9,12,1,4,19,7,3,1,7,0,20,15,4,0,5,7,1,7,3,7,13,3,0,0,0,8,13,2,9,6,4,11,0,6,1,8,17,6,0,5,23,6,4,9,0,0,5,6,6,0,5,1,48,14,4,14,13,1,3,2,1,12,4,3,12,0,0,15,7,0,2,20,26,13,26,9,5,8,0,23,14,10,2,17,12,14,6,3,0,3,0,3,0,3,0,9,23,1,1,0,16,3,4,5,7,6,0,2,3,1,12,0,10,1,10,3,0,0,13,2,22,0,14,3,2,2,1,6,0,7,1,3,1,7,6,0,7,37,6,0,7,1,3,1,0,5,20,1,2,0,7,4,6,3,0,7,0,8,0,0,1,4,15,2,6,1,0,0,8,6,1,9,9,1,6,6,0,12,4,22,5,1,0,2,3,3,9,0,0,0,1,12,28,12,8,15,3,3,8,11,1,1,1,0,3,7,0,1,9,0,7,0,37,4,7,1,1,2,3,25,3,8,4,1,4,0
